host,_time,CPU_95th_Perc
020ie1gva9.example.com,09:00,5.16090909090909
0a1a9r17f6.example.com,09:00,1.7583333333333335
0ot491ub6o.example.com,09:00,0.9145945945945948
0tjy50o2hn.example.com,09:00,0.68
11913b5lh4.example.com,09:00,0.4641176470588236
17s00f3p1p.example.com,09:00,0.8754545454545454
180ot7qkoc.example.com,09:00,1.00625
1cyu1x57x7.example.com,09:00,0.2166666666666666
1e37wa805w.example.com,09:00,0.26
1kzpunn1iw.example.com,09:00,24.752916666666664
21553426o4.example.com,09:00,0.0726666666666666
26n7558qem.example.com,09:00,0.7182352941176471
296bk78m3s.example.com,09:00,0.85
2m09289h13.example.com,09:00,0.2461538461538461
2tt7bdzt93.example.com,09:00,0.5031818181818182
34gu602cml.example.com,09:00,22.61
384p7s4pgj.example.com,09:00,0.5033333333333334
3gca88v992.example.com,09:00,0.87
3r944jyjcy.example.com,09:00,1.481666666666667
3z7k2m99hy.example.com,09:00,0.58
42nyi92dps.example.com,09:00,0.174
430nca3g58.example.com,09:00,2.384090909090909
45x6ba5r58.example.com,09:00,3.0175
491170l4j9.example.com,09:00,0.7856756756756756
4e7fi07563.example.com,09:00,1.226
4p9xf6q09j.example.com,09:00,1.03
544i565h38.example.com,09:00,1.7175757575757575
54u39f46w4.example.com,09:00,0.6975000000000001
56x0n7pu1o.example.com,09:00,0.9842857142857144
5azmx09198.example.com,09:00,0.4704761904761904
5j4leg39i6.example.com,09:00,0.8436111111111111
5qt5vq4lhk.example.com,09:00,0.616842105263158
5xt1x754x0.example.com,09:00,3.105
60akv51096.example.com,09:00,1.3061111111111112
62xmdp9avb.example.com,09:00,0.1475
64ph48xgi4.example.com,09:00,0.7478571428571429
6627ch84u1.example.com,09:00,0.8983783783783784
6649n13ytp.example.com,09:00,0.5395000000000001
6791f1cdq2.example.com,09:00,0.4261904761904762
67ets55ob3.example.com,09:00,1.5504545454545455
686573048k.example.com,09:00,2.260952380952381
68wa53c1nt.example.com,09:00,0.2890909090909091
6k2bmnydm5.example.com,09:00,0.6925
6wz6ovdd53.example.com,09:00,0.118
706683w064.example.com,09:00,4.257916666666667
74582f16q2.example.com,09:00,0.4516666666666666
75344p5z10.example.com,09:00,0.2
7s8k0s638r.example.com,09:00,0.0369230769230769
7u3l8hftr3.example.com,09:00,3.5228571428571427
81g4g1hv0z.example.com,09:00,20.918709677419358
87c5erai8d.example.com,09:00,1.7503333333333335
8k83n86v9q.example.com,09:00,2.353333333333333
8tu3qbcsg8.example.com,09:00,0.3835
8vs4mo3oua.example.com,09:00,0.2431578947368421
91fvy62m26.example.com,09:00,2.509523809523809
95mtvvas0b.example.com,09:00,5.388
97ekboq789.example.com,09:00,0.3455
9p27d1k01y.example.com,09:00,1.4105263157894736
ai4xs9tt54.example.com,09:00,9.863333333333332
b133p3azhn.example.com,09:00,0.095
b2g1e47781.example.com,09:00,0.5706666666666667
b6n8l12yn3.example.com,09:00,0.8480000000000001
c2vc4969gj.example.com,09:00,3.2247619047619045
cet5m29f20.example.com,09:00,1.2604347826086957
cqr4r79v1g.example.com,09:00,0.9346153846153846
cv9v06q70z.example.com,09:00,0.4146153846153846
cznin5g469.example.com,09:00,1.925
d84433utw1.example.com,09:00,1.7793939393939393
de9xl9d7v2.example.com,09:00,0.9
e21p71ti2b.example.com,09:00,8.599
e4nbk2okh9.example.com,09:00,0.3785714285714285
elc4h9i1vz.example.com,09:00,2.8080000000000003
f8660cg9dt.example.com,09:00,3.184736842105263
f9331yazk8.example.com,09:00,2.303888888888889
fta8e2owy2.example.com,09:00,0.5175
g53077658c.example.com,09:00,15.987692307692308
gogt8eg5le.example.com,09:00,6.0865
h8821wfs83.example.com,09:00,0.2408333333333333
h9ik2l30n6.example.com,09:00,0.6950000000000001
i49jdd7463.example.com,09:00,4.907333333333333
i4z2k5s585.example.com,09:00,0.3085714285714286
i51e161h13.example.com,09:00,0.7083333333333334
i563eh17wa.example.com,09:00,0.0584210526315789
j46j4n1xml.example.com,09:00,2.99
j4oags8u5r.example.com,09:00,0.7176190476190476
j95cqyz6g4.example.com,09:00,0.8615384615384616
jg630tu182.example.com,09:00,0.557
jh119dap00.example.com,09:00,0.4671428571428571
jj26zaw9bo.example.com,09:00,2.799259259259259
kp27n9w921.example.com,09:00,0.4514285714285714
l13694ox2s.example.com,09:00,1.0683333333333334
lu7keu15en.example.com,09:00,0.6819047619047619
lw6mq37163.example.com,09:00,0.0547058823529411
lxkb5ebz3w.example.com,09:00,0.3757142857142857
m69r5o347z.example.com,09:00,0.744
n1zr00bg71.example.com,09:00,0.3057142857142857
np0255gv00.example.com,09:00,0.71
np9r7i9lhy.example.com,09:00,0.7742857142857144
o8i2ra74nx.example.com,09:00,0.275
o9q2fe230w.example.com,09:00,0.721081081081081
obc27l4ab7.example.com,09:00,0.5218181818181818
p3jw069lt3.example.com,09:00,6.666333333333333
pb19q598sp.example.com,09:00,2.4382608695652173
