host,_time,CPU_95th_Perc
020ie1gva9.example.com,11:00,0.6354545454545455
0a1a9r17f6.example.com,11:00,1.65
0ot491ub6o.example.com,11:00,0.7833870967741936
0tjy50o2hn.example.com,11:00,1.4333333333333331
11913b5lh4.example.com,11:00,1.4574193548387098
17s00f3p1p.example.com,11:00,0.6810526315789474
180ot7qkoc.example.com,11:00,0.3116666666666667
1cyu1x57x7.example.com,11:00,0.135
1e37wa805w.example.com,11:00,0.52
1kzpunn1iw.example.com,11:00,20.11628571428572
21553426o4.example.com,11:00,0.0695652173913043
26n7558qem.example.com,11:00,0.5734482758620689
296bk78m3s.example.com,11:00,1.161333333333333
2m09289h13.example.com,11:00,1.6057142857142856
2tt7bdzt93.example.com,11:00,0.3711904761904762
34gu602cml.example.com,11:00,1.39
384p7s4pgj.example.com,11:00,0.8748275862068966
3gca88v992.example.com,11:00,3.747142857142857
3r944jyjcy.example.com,11:00,1.42
3z7k2m99hy.example.com,11:00,0.7142857142857143
42nyi92dps.example.com,11:00,0.8833333333333334
430nca3g58.example.com,11:00,0.8266666666666667
45x6ba5r58.example.com,11:00,7.230540540540542
491170l4j9.example.com,11:00,0.8433846153846154
4e7fi07563.example.com,11:00,0.4271428571428571
4p9xf6q09j.example.com,11:00,1.5796969696969696
544i565h38.example.com,11:00,0.68875
54u39f46w4.example.com,11:00,0.7913333333333334
56x0n7pu1o.example.com,11:00,0.8651724137931034
5azmx09198.example.com,11:00,2.116666666666667
5j4leg39i6.example.com,11:00,0.7874603174603174
5qt5vq4lhk.example.com,11:00,0.5290625
5xt1x754x0.example.com,11:00,1.2357142857142858
60akv51096.example.com,11:00,1.157258064516129
62xmdp9avb.example.com,11:00,5.985714285714286
64ph48xgi4.example.com,11:00,4.092307692307692
6627ch84u1.example.com,11:00,0.8671875
6649n13ytp.example.com,11:00,1.1503030303030304
6791f1cdq2.example.com,11:00,1.0662857142857145
67ets55ob3.example.com,11:00,1.8794117647058823
686573048k.example.com,11:00,1.913055555555556
68wa53c1nt.example.com,11:00,1.0794117647058823
6k2bmnydm5.example.com,11:00,1.165
6wz6ovdd53.example.com,11:00,0.5589999999999999
706683w064.example.com,11:00,6.131891891891891
74582f16q2.example.com,11:00,0.8336
75344p5z10.example.com,11:00,2.611333333333333
7k0j6rx783.example.com,11:00,5.93
7s8k0s638r.example.com,11:00,0.04375
7u3l8hftr3.example.com,11:00,0.6870833333333334
81g4g1hv0z.example.com,11:00,1.1104545454545454
87c5erai8d.example.com,11:00,0.6247222222222223
8k83n86v9q.example.com,11:00,2.3366666666666664
8tu3qbcsg8.example.com,11:00,0.7588235294117647
8vs4mo3oua.example.com,11:00,2.260588235294118
