host,_time,CPU_95th_Perc
0ot491ub6o.example.com,12:00,0.6767692307692308
180ot7qkoc.example.com,12:00,3.26
1e37wa805w.example.com,12:00,0.4705
1kzpunn1iw.example.com,12:00,6.686285714285715
21553426o4.example.com,12:00,0.1211111111111111
26n7558qem.example.com,12:00,0.4325
2tt7bdzt93.example.com,12:00,1.5857777777777775
45x6ba5r58.example.com,12:00,5.329166666666667
491170l4j9.example.com,12:00,0.67734375
49y0s4e6yi.example.com,12:00,13.198571428571428
4p9xf6q09j.example.com,12:00,0.3017857142857143
5j4leg39i6.example.com,12:00,0.927936507936508
60akv51096.example.com,12:00,2.7978688524590165
6627ch84u1.example.com,12:00,0.851875
6649n13ytp.example.com,12:00,0.7733333333333333
686573048k.example.com,12:00,0.8200000000000001
68wa53c1nt.example.com,12:00,0.5186486486486487
6wz6ovdd53.example.com,12:00,0.6054545454545455
706683w064.example.com,12:00,0.4983999999999999
75344p5z10.example.com,12:00,9.18952380952381
7s8k0s638r.example.com,12:00,0.1191666666666666
81g4g1hv0z.example.com,12:00,1.12
87c5erai8d.example.com,12:00,0.6093877551020408
91fvy62m26.example.com,12:00,0.3397826086956522
95mtvvas0b.example.com,12:00,0.9545833333333332
97ekboq789.example.com,12:00,0.358
9p27d1k01y.example.com,12:00,1.5791428571428572
ai4xs9tt54.example.com,12:00,3.876
b2g1e47781.example.com,12:00,0.6517460317460317
d84433utw1.example.com,12:00,0.6178125
de9xl9d7v2.example.com,12:00,2.2269047619047617
dqa331kq4u.example.com,12:00,0.9415384615384615
e21p71ti2b.example.com,12:00,0.1475
elc4h9i1vz.example.com,12:00,9.89375
f8660cg9dt.example.com,12:00,2.077272727272728
f9331yazk8.example.com,12:00,3.065245901639344
g53077658c.example.com,12:00,0.5185000000000001
h8821wfs83.example.com,12:00,0.2966666666666667
i563eh17wa.example.com,12:00,0.0804347826086956
j46j4n1xml.example.com,12:00,8.657499999999999
jj26zaw9bo.example.com,12:00,1.8066071428571429
kp27n9w921.example.com,12:00,2.648
lw6mq37163.example.com,12:00,0.294
lxkb5ebz3w.example.com,12:00,3.5647058823529414
n1zr00bg71.example.com,12:00,0.5928571428571429
o9q2fe230w.example.com,12:00,0.54765625
obc27l4ab7.example.com,12:00,0.4585
p3jw069lt3.example.com,12:00,2.756101694915254
pb19q598sp.example.com,12:00,2.9711904761904764
t23kn15n9k.example.com,12:00,0.50125
uzn0t6y9fi.example.com,12:00,0.68953125
v8c0180616.example.com,12:00,1.8428301886792453
y83a5q45dh.example.com,12:00,2.8571739130434786
zlc9q3dcp7.example.com,12:00,1.4496774193548387
