host,_time,CPU_95th_Perc
0ot491ub6o.example.com,15:00,0.7529411764705882
153lt8728s.example.com,15:00,15.900735294117649
180ot7qkoc.example.com,15:00,0.27
1e37wa805w.example.com,15:00,3.184848484848485
1kzpunn1iw.example.com,15:00,8.3065625
21553426o4.example.com,15:00,0.0603225806451612
26n7558qem.example.com,15:00,2.0928301886792453
2tt7bdzt93.example.com,15:00,0.4211627906976744
3r944jyjcy.example.com,15:00,0.26
42nyi92dps.example.com,15:00,0.06
45x6ba5r58.example.com,15:00,2.4225454545454546
491170l4j9.example.com,15:00,0.8201449275362318
49y0s4e6yi.example.com,15:00,20.945833333333333
4p9xf6q09j.example.com,15:00,0.1184
4q92v6y4v4.example.com,15:00,0.795
544i565h38.example.com,15:00,1.604181818181818
5azmx09198.example.com,15:00,0.05
5j4leg39i6.example.com,15:00,0.7535294117647059
5qt5vq4lhk.example.com,15:00,0.4673076923076923
60akv51096.example.com,15:00,2.3386363636363634
60z896ru8v.example.com,15:00,0.6900000000000001
64ph48xgi4.example.com,15:00,0.26
6627ch84u1.example.com,15:00,0.8073913043478261
67ets55ob3.example.com,15:00,0.8970833333333333
686573048k.example.com,15:00,3.118387096774194
68wa53c1nt.example.com,15:00,0.2013333333333333
6k2bmnydm5.example.com,15:00,0.19
6wz6ovdd53.example.com,15:00,0.4599999999999999
706683w064.example.com,15:00,1.7616666666666667
7273jkfx4z.example.com,15:00,2.216666666666667
74582f16q2.example.com,15:00,0.1233333333333333
75344p5z10.example.com,15:00,6.995384615384615
7k0j6rx783.example.com,15:00,0.8466666666666667
7s8k0s638r.example.com,15:00,0.0657692307692307
81g4g1hv0z.example.com,15:00,1.4383870967741936
87c5erai8d.example.com,15:00,1.473220338983051
8vs4mo3oua.example.com,15:00,0.2533333333333333
91fvy62m26.example.com,15:00,0.5822950819672131
95mtvvas0b.example.com,15:00,1.8081818181818183
97ekboq789.example.com,15:00,0.505
9p27d1k01y.example.com,15:00,1.9245238095238093
ai4xs9tt54.example.com,15:00,1.990980392156863
b2g1e47781.example.com,15:00,0.5938636363636364
c2vc4969gj.example.com,15:00,9.55
cet5m29f20.example.com,15:00,0.9722580645161292
cqr4r79v1g.example.com,15:00,0.4205
cznin5g469.example.com,15:00,7.1
d84433utw1.example.com,15:00,2.0807462686567164
de9xl9d7v2.example.com,15:00,5.333600000000001
dqa331kq4u.example.com,15:00,0.5650000000000001
e4nbk2okh9.example.com,15:00,0.51
e9c0p498v1.example.com,15:00,0.6933333333333334
elc4h9i1vz.example.com,15:00,3.5834920634920637
f8660cg9dt.example.com,15:00,0.6843396226415095
f9331yazk8.example.com,15:00,2.6487878787878785
fta8e2owy2.example.com,15:00,0.275
g53077658c.example.com,15:00,2.5527272727272727
h8821wfs83.example.com,15:00,0.224
i49jdd7463.example.com,15:00,2.819375
i4z2k5s585.example.com,15:00,0.3666666666666667
i563eh17wa.example.com,15:00,0.0678571428571428
j46j4n1xml.example.com,15:00,2.085172413793104
j4oags8u5r.example.com,15:00,0.275
jj26zaw9bo.example.com,15:00,1.6529999999999998
kp27n9w921.example.com,15:00,0.4508333333333333
lu7keu15en.example.com,15:00,0.18
lw6mq37163.example.com,15:00,0.0529629629629629
lxkb5ebz3w.example.com,15:00,0.4844444444444444
n1zr00bg71.example.com,15:00,0.5192307692307693
o9q2fe230w.example.com,15:00,0.7346376811594203
obc27l4ab7.example.com,15:00,0.5528
p3jw069lt3.example.com,15:00,6.08304347826087
pb19q598sp.example.com,15:00,2.9106451612903226
sbf1g4j78k.example.com,15:00,1.1964285714285714
t23kn15n9k.example.com,15:00,0.7208333333333333
uzn0t6y9fi.example.com,15:00,0.7694117647058824
v8c0180616.example.com,15:00,1.2836507936507937
wge551iw52.example.com,15:00,0.7543333333333333
y53b7oyu60.example.com,15:00,0.8200000000000001
y83a5q45dh.example.com,15:00,8.845272727272727
zlc9q3dcp7.example.com,15:00,10.987794117647056
