host,_time,CPU_95th_Perc
0ot491ub6o.example.com,10:00,0.81875
180ot7qkoc.example.com,10:00,0.3516666666666666
1e37wa805w.example.com,10:00,0.576111111111111
1kzpunn1iw.example.com,10:00,9.41225806451613
21553426o4.example.com,10:00,0.1538095238095238
26n7558qem.example.com,10:00,0.3755882352941176
2tt7bdzt93.example.com,10:00,0.374
384p7s4pgj.example.com,10:00,1.006
3r944jyjcy.example.com,10:00,0.02
45x6ba5r58.example.com,10:00,3.230384615384615
491170l4j9.example.com,10:00,0.72075
4p9xf6q09j.example.com,10:00,0.293076923076923
544i565h38.example.com,10:00,0.3752941176470588
56x0n7pu1o.example.com,10:00,0.505
5azmx09198.example.com,10:00,0.218
5j4leg39i6.example.com,10:00,2.14125
60akv51096.example.com,10:00,1.3390243902439023
64ph48xgi4.example.com,10:00,0.26
6627ch84u1.example.com,10:00,0.7755
68wa53c1nt.example.com,10:00,0.3455555555555555
6k2bmnydm5.example.com,10:00,0.516
6wz6ovdd53.example.com,10:00,0.3533333333333333
706683w064.example.com,10:00,0.5360606060606061
7273jkfx4z.example.com,10:00,1.12
74582f16q2.example.com,10:00,0.06
75344p5z10.example.com,10:00,0.5957142857142858
7s8k0s638r.example.com,10:00,0.0454545454545454
81g4g1hv0z.example.com,10:00,1.2042857142857142
87c5erai8d.example.com,10:00,1.3706060606060606
8tu3qbcsg8.example.com,10:00,0.184
8vs4mo3oua.example.com,10:00,0.0725
91fvy62m26.example.com,10:00,0.3887878787878788
95mtvvas0b.example.com,10:00,1.02
97ekboq789.example.com,10:00,0.34
9p27d1k01y.example.com,10:00,0.2083333333333333
ai4xs9tt54.example.com,10:00,0.3278260869565217
b2g1e47781.example.com,10:00,0.9257142857142858
cet5m29f20.example.com,10:00,0.7466666666666667
d84433utw1.example.com,10:00,0.6390476190476191
de9xl9d7v2.example.com,10:00,0.4970833333333333
dqa331kq4u.example.com,10:00,3.634375
elc4h9i1vz.example.com,10:00,2.2594117647058822
f8660cg9dt.example.com,10:00,0.5251724137931034
f9331yazk8.example.com,10:00,1.3682051282051282
g53077658c.example.com,10:00,2.516923076923077
gogt8eg5le.example.com,10:00,0.7825
h8821wfs83.example.com,10:00,0.5925
h9ik2l30n6.example.com,10:00,0.422
i4z2k5s585.example.com,10:00,0.6342857142857142
i563eh17wa.example.com,10:00,0.0517647058823529
j46j4n1xml.example.com,10:00,0.1733333333333333
j4oags8u5r.example.com,10:00,0.61
jg630tu182.example.com,10:00,1.015
jj26zaw9bo.example.com,10:00,0.6618181818181819
kp27n9w921.example.com,10:00,0.3899999999999999
lu7keu15en.example.com,10:00,0.0466666666666666
lw6mq37163.example.com,10:00,0.0516666666666666
lxkb5ebz3w.example.com,10:00,0.3999999999999999
n1zr00bg71.example.com,10:00,0.475
np9r7i9lhy.example.com,10:00,0.885
o9q2fe230w.example.com,10:00,0.6815
obc27l4ab7.example.com,10:00,0.3338888888888889
p3jw069lt3.example.com,10:00,0.9105263157894736
pb19q598sp.example.com,10:00,4.8
t23kn15n9k.example.com,10:00,0.4714285714285714
uzn0t6y9fi.example.com,10:00,0.7405128205128205
v5uaeng3kp.example.com,10:00,0.53
v8c0180616.example.com,10:00,0.5876666666666667
y83a5q45dh.example.com,10:00,3.1091666666666664
zlc9q3dcp7.example.com,10:00,8.181463414634147
