host,_time,CPU_95th_Perc
0a1a9r17f6.example.com,15:00,1.921111111111111
0ot491ub6o.example.com,15:00,0.8737704918032786
0tjy50o2hn.example.com,15:00,0.6839130434782609
11913b5lh4.example.com,15:00,3.636571428571429
17s00f3p1p.example.com,15:00,0.3572222222222222
180ot7qkoc.example.com,15:00,1.775263157894737
1cyu1x57x7.example.com,15:00,0.314
1e37wa805w.example.com,15:00,6.902
1kzpunn1iw.example.com,15:00,7.609772727272727
21553426o4.example.com,15:00,0.0535294117647058
26n7558qem.example.com,15:00,2.125833333333333
296bk78m3s.example.com,15:00,0.9803448275862068
2m09289h13.example.com,15:00,0.3682608695652174
2tt7bdzt93.example.com,15:00,0.5629411764705883
34gu602cml.example.com,15:00,6.4
384p7s4pgj.example.com,15:00,2.313
3gca88v992.example.com,15:00,0.99875
3r944jyjcy.example.com,15:00,0.0889473684210526
3z7k2m99hy.example.com,15:00,0.6594117647058824
42nyi92dps.example.com,15:00,0.2185
430nca3g58.example.com,15:00,2.6223529411764703
45x6ba5r58.example.com,15:00,0.7860869565217392
491170l4j9.example.com,15:00,0.8631147540983606
4e7fi07563.example.com,15:00,0.8066666666666666
4p9xf6q09j.example.com,15:00,0.1911111111111111
544i565h38.example.com,15:00,0.5269387755102041
54u39f46w4.example.com,15:00,0.7060714285714286
56x0n7pu1o.example.com,15:00,2.414333333333333
5azmx09198.example.com,15:00,0.4984375
5j4leg39i6.example.com,15:00,0.8834426229508197
5qt5vq4lhk.example.com,15:00,0.9908571428571428
60akv51096.example.com,15:00,1.3041666666666667
62xmdp9avb.example.com,15:00,1.4975
64ph48xgi4.example.com,15:00,1.0956521739130434
6627ch84u1.example.com,15:00,0.9621311475409836
6649n13ytp.example.com,15:00,0.7466666666666667
6791f1cdq2.example.com,15:00,0.9621621621621622
67ets55ob3.example.com,15:00,0.905945945945946
686573048k.example.com,15:00,1.123888888888889
68wa53c1nt.example.com,15:00,0.77325
6k2bmnydm5.example.com,15:00,2.66
6wz6ovdd53.example.com,15:00,0.442
706683w064.example.com,15:00,0.9517777777777776
74582f16q2.example.com,15:00,0.0753333333333333
75344p5z10.example.com,15:00,4.539333333333333
7s8k0s638r.example.com,15:00,0.0546153846153846
7u3l8hftr3.example.com,15:00,1.9245454545454548
81g4g1hv0z.example.com,15:00,1.4837837837837835
87c5erai8d.example.com,15:00,2.412
8k83n86v9q.example.com,15:00,1.2255555555555555
8tu3qbcsg8.example.com,15:00,0.4259259259259259
8vs4mo3oua.example.com,15:00,0.2563157894736842
91fvy62m26.example.com,15:00,0.4558139534883721
