host,_time,CPU_95th_Perc
0ot491ub6o.example.com,10:00,0.7152083333333333
180ot7qkoc.example.com,10:00,0.44
1e37wa805w.example.com,10:00,0.4538095238095238
1kzpunn1iw.example.com,10:00,6.442631578947368
21553426o4.example.com,10:00,0.0672
26n7558qem.example.com,10:00,0.5088235294117647
2tt7bdzt93.example.com,10:00,3.421724137931034
45x6ba5r58.example.com,10:00,10.56
491170l4j9.example.com,10:00,0.6729787234042554
4p9xf6q09j.example.com,10:00,0.0346153846153846
5j4leg39i6.example.com,10:00,0.8313333333333333
60akv51096.example.com,10:00,7.723999999999999
6627ch84u1.example.com,10:00,0.7493877551020408
68wa53c1nt.example.com,10:00,1.7480000000000004
6wz6ovdd53.example.com,10:00,0.575
706683w064.example.com,10:00,4.263888888888889
7s8k0s638r.example.com,10:00,0.0858333333333333
87c5erai8d.example.com,10:00,3.394615384615385
91fvy62m26.example.com,10:00,0.445
95mtvvas0b.example.com,10:00,2.7293333333333334
9p27d1k01y.example.com,10:00,0.41
ai4xs9tt54.example.com,10:00,3.769032258064516
b2g1e47781.example.com,10:00,1.188235294117647
d84433utw1.example.com,10:00,0.6215909090909091
de9xl9d7v2.example.com,10:00,15.98970588235294
dqa331kq4u.example.com,10:00,7.355
elc4h9i1vz.example.com,10:00,13.027222222222225
f8660cg9dt.example.com,10:00,0.7067741935483871
g53077658c.example.com,10:00,0.624
h8821wfs83.example.com,10:00,0.3071428571428571
i563eh17wa.example.com,10:00,0.0884375
jj26zaw9bo.example.com,10:00,0.6592682926829269
kp27n9w921.example.com,10:00,4.451111111111112
lw6mq37163.example.com,10:00,0.15125
lxkb5ebz3w.example.com,10:00,3.822941176470588
n1zr00bg71.example.com,10:00,0.136
o9q2fe230w.example.com,10:00,0.6410416666666666
obc27l4ab7.example.com,10:00,3.222380952380953
p3jw069lt3.example.com,10:00,8.387906976744187
pb19q598sp.example.com,10:00,2.265217391304348
t23kn15n9k.example.com,10:00,0.701764705882353
tq0sg60prf.example.com,10:00,0.7190000000000001
uzn0t6y9fi.example.com,10:00,0.7947826086956522
v8c0180616.example.com,10:00,1.868157894736842
y83a5q45dh.example.com,10:00,1.2669230769230768
zlc9q3dcp7.example.com,10:00,2.0240476190476198
